question_id,question,method,retrieved_ids,tokens_used,token_budget,top_score,answer_or_status
1,What sounds or noises did witnesses hear during the sightings?,tfidf,R35216 R35275 R56472 R52235 R34128 R37001 R52853 R57442 R81162 R63058 R40011 R12308 R60008 R4826 R40961 R33175 R34220 R12055 R58076 R54083 R38519 R53761 R54262 R79287 R80330 R77921 R23114 R46545 R39377 R73959,1433,1500,0.3730511963367462,Nous n'avons pas de releve suffisamment pertinent pour repondre a cette question.
1,What sounds or noises did witnesses hear during the sightings?,naive,R16533 R33175 R40961 R159 R443 R476 R484 R713 R882 R1692 R1935 R2138 R2256 R2812 R3162 R3275 R3693 R3837 R3933 R4826 R5176 R5409 R5807 R6340 R6344,1469,1500,2.0,"Les releves recuperes donnent des elements directs sur la question: le premier temoignage pertinent indique notamment ""we were inside our house and heard several loud jet like sounds that would stop and then start up agan (exactly like..."" [R16533], [R33175], [R40961]. Cette synthese reste limitee aux passages cites."
2,Which colors are most clearly described by witnesses?,tfidf,R63058 R84182 R18443 R82854 R38706 R58653 R44493 R4408 R54302 R52378 R58665 R36514 R54242 R31747 R87822 R28193 R61546 R8956 R8781 R30460 R38671 R54358 R88122 R58719 R7963 R21493 R54612,1447,1500,0.4176860451698303,"Les releves recuperes donnent des elements directs sur la question: le premier temoignage pertinent indique notamment ""Circular with colors."" [R18443], [R38706], [R52378]. Cette synthese reste limitee aux passages cites."
2,Which colors are most clearly described by witnesses?,naive,R32 R59 R88 R326 R453 R489 R575 R730 R904 R907 R989 R1002 R1132 R1253 R1467 R1838 R1976 R2307 R2447 R2639 R2765 R2895 R3074 R3120 R3238,1497,1500,1.0,"Les releves recuperes donnent des elements directs sur la question: le premier temoignage pertinent indique notamment ""very low clouds all different colors,search lights were seen shining down out of the clouds on the houses and streets..."" [R32], [R59], [R88]. Cette synthese reste limitee aux passages cites."
3,How do witnesses describe the movement of the objects?,tfidf,R63058 R37494 R57033 R84193 R12428 R84050 R54302 R21060 R87887 R54358 R88122 R54612 R70753 R48568 R32710 R4726 R28306 R39650 R81100 R84044 R24254 R82313 R48656 R15793 R61647 R49116 R30921 R30923 R23195 R23153 R40934,1480,1500,0.6118589639663696,"Les releves recuperes donnent des elements directs sur la question: le premier temoignage pertinent indique notamment ""irratic star movement"" [R12428], [R84050], [R21060]. Cette synthese reste limitee aux passages cites."
3,How do witnesses describe the movement of the objects?,naive,R385 R531 R749 R752 R1448 R1530 R1575 R1740 R1905 R1907 R1980 R2164 R2474 R2819 R3011 R3187 R3223 R3592 R3720 R3914 R4007 R4366 R4411 R4619 R4708,1456,1500,1.0,"Les releves recuperes donnent des elements directs sur la question: le premier temoignage pertinent indique notamment ""Large flaming tail and eratic movement - sudden change of direction"" [R385], [R531], [R749]. Cette synthese reste limitee aux passages cites."
4,Are there sightings reported over cities or inhabited areas?,tfidf,R53917 R54763 R35275 R21289 R82069 R42372 R66824 R58076 R6253 R70116 R438 R79287 R23114 R53501 R39891 R14133 R30574 R43951 R67967 R75027 R44161 R22111 R9621 R62342 R39465 R47484 R21536 R6989,1469,1500,0.373657763004303,Nous n'avons pas de releve suffisamment pertinent pour repondre a cette question.
4,Are there sightings reported over cities or inhabited areas?,naive,R438 R3194 R3197 R6989 R9053 R14133 R15079 R15756 R16897 R18306 R21536 R21852 R22111 R23463 R25388 R26395 R33908 R35811 R37745 R39213 R39891 R40475 R41412 R42372,1465,1500,1.0,Nous n'avons pas de releve suffisamment pertinent pour repondre a cette question.
5,What do witnesses report seeing at night?,tfidf,R40007 R82626 R30465 R63058 R29794 R28729 R30067 R76608 R27586 R68224 R82513 R74189 R30864 R17379 R28908 R68435 R83537 R85573 R16771 R72065 R12043 R14736 R84738 R74707 R54378 R52806,1465,1500,0.4220053553581238,"Les releves recuperes donnent des elements directs sur la question: le premier temoignage pertinent indique notamment ""Seeing 3 space crafts in one night,"" [R84738], [R52806], [R40007]. Cette synthese reste limitee aux passages cites."
5,What do witnesses report seeing at night?,naive,R8799 R17013 R19130 R19943 R23809 R28354 R31082 R37012 R45417 R50116 R52806 R60211 R67768 R71974 R84168 R84738 R4 R17 R39 R44 R50 R55 R58,1485,1500,2.0,"Les releves recuperes donnent des elements directs sur la question: le premier temoignage pertinent indique notamment ""I have made several reports recently and had the most disturbing sighting last night. I previously reported seeing ob..."" [R8799], [R17013], [R19130]. Cette synthese reste limitee aux passages cites."
